name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ivory coast,2023-11-07,33.2,22.4,26,36.9,22.4,27.2,22.3,82.3,9.1,100,50,rain,0,0,32.4,14,160.4,1010.8,69.5,21.7,248.6,21.3,9,60,2023-11-07T06:09:15,2023-11-07T18:00:14,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,remote
ivory coast,2023-11-08,31.7,22.1,25.3,35.1,22.1,26.3,22.5,85.8,4.3,95.2,33.33,rain,0,0,19.8,10.1,193.9,1010.7,76.2,22.5,219.9,18.9,8,60,2023-11-08T06:09:28,2023-11-08T18:00:09,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
ivory coast,2023-11-09,31,22.9,25.2,34.4,22.9,26.2,22.9,88,3.8,95.2,29.17,rain,0,0,19.1,8.3,211.7,1011,71.1,22.1,181.3,15.6,8,60,2023-11-09T06:09:41,2023-11-09T18:00:05,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
ivory coast,2023-11-10,31.5,22,25.5,35.2,22,26.7,22.5,85.4,6,81,37.5,rain,0,0,19.8,5.4,243.8,1011.2,99.2,21.7,187,16.3,8,75,2023-11-10T06:09:55,2023-11-10T18:00:02,0.91,"Rain, Overcast",Cloudy skies throughout the day with strong storms possible.,rain,
ivory coast,2023-11-11,31.6,22.2,25.1,35.5,22.2,26.2,22.5,87,9.2,85.7,58.33,rain,0,0,17.3,8.6,210.6,1011.5,78.1,18.9,193.8,16.8,8,60,2023-11-11T06:10:10,2023-11-11T18:00:00,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
ivory coast,2023-11-12,32.2,22,25.8,35.6,22,26.9,22.5,84.1,2.8,85.7,12.5,rain,0,0,21.6,7.9,177.4,1011,43.7,24.1,285.2,24.4,8,30,2023-11-12T06:10:25,2023-11-12T17:59:58,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
ivory coast,2023-11-13,31.5,22,25.3,35.5,22,26.4,22.6,86.1,4.4,76.2,16.67,rain,0,0,25.6,9.4,182.4,1011.3,46.8,23.7,237.4,20.4,8,60,2023-11-13T06:10:42,2023-11-13T17:59:58,0,"Rain, Partially cloudy",Clearing in the afternoon with storms possible.,rain,
ivory coast,2023-11-14,32.2,21.9,26.2,36.3,21.9,27.5,22,79.5,0.9,57.1,4.17,rain,0,0,11.9,7.9,165,1010.8,27.1,24.1,274,23.4,8,60,2023-11-14T06:10:59,2023-11-14T17:59:59,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
ivory coast,2023-11-15,32.6,21.9,26.3,36.6,21.9,27.5,21.9,79,0.2,71.4,8.33,rain,0,0,21.2,7.9,169.2,1010.3,18.8,24.1,272.5,23.4,8,60,2023-11-15T06:11:16,2023-11-15T18:00:01,0.08,Rain,Clear conditions throughout the day with storms possible.,rain,
ivory coast,2023-11-16,32.2,21.9,25.7,35.4,21.9,26.8,22.1,82.1,2.1,71.4,12.5,rain,0,0,24.1,10.1,156.3,1009.9,62.1,24.1,242.3,21.2,8,60,2023-11-16T06:11:35,2023-11-16T18:00:04,0.11,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
ivory coast,2023-11-17,31.5,21.9,25.6,35,21.9,26.7,22.1,82.8,2.3,71.4,12.5,rain,0,0,24.5,10.8,156.3,1009.9,56.7,24.1,261.3,22.5,8,60,2023-11-17T06:11:54,2023-11-17T18:00:08,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
ivory coast,2023-11-18,31.4,21.8,25.3,34.9,21.8,26.3,22.3,84.8,3.9,85.7,12.5,rain,0,0,19.8,9,167.2,1010.7,57.1,22.6,233,20.1,8,60,2023-11-18T06:12:13,2023-11-18T18:00:13,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
ivory coast,2023-11-19,32.2,21.6,25.7,34.8,21.6,26.6,21.8,81.6,0.4,85.7,4.17,rain,0,0,22.7,9.7,162,1010.9,28.7,24.1,269.8,23.4,8,30,2023-11-19T06:12:34,2023-11-19T18:00:18,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
ivory coast,2023-11-20,31.1,23,25.3,34,23,25.9,21.9,82.4,0.2,61.9,4.17,rain,0,0,18,5.8,206.1,1009.9,86.6,24.1,147.4,13.2,7,30,2023-11-20T06:12:55,2023-11-20T18:00:25,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
ivory coast,2023-11-21,32.5,22.3,26.1,35.9,22.3,27.2,22.2,81,4,52.4,16.67,rain,0,0,31.3,7.9,176.6,1008.3,62.7,22.1,226.8,19.8,8,60,2023-11-21T06:13:17,2023-11-21T18:00:33,0.29,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
